#PPI	ID_b	Sym_b	LocID_b	ID_p	Sym_p	LocID_p	Y2H	Exp	Hs	Dm	Ce	Sc	GO	Qcount
2230	1034	MAPK9	5601	1890	XPNPEP1	7511	LacZ4							1
2231	1034	MAPK9	5601	1891	XPO7	23039	LacZ4							1
2232	1036	MARK3	4140	118	ATP6V0C	527	SD4				WI5:31			1
2233	1036	MARK3	4140	290	CHGB	1114	SD4		HPRD:22					1
2234	1036	MARK3	4140	947	LOC113174	113174	LacZ4							1
2235	1036	MARK3	4140	1321	PMPCB	9512	SD4			GIOT:31				1
2236	1036	MARK3	4140	1814	TTS-2.2	57104	SD4		Y2H:40					1
2237	1036	MARK3	4140	1875	VPS11	55823	SD4			GIOT:31				1
2238	1046	MCOLN1	57192	1470	RFP	5987	SD4		Y2H:40					1
2239	1046	MCOLN1	57192	1626	SLC35E1	79939	SD4		Y2H:40					1
2240	1050	MDH2	4191	1879	WARS	7453	LacZ4							1
2241	1057	MGC:13379	51259	1044	MCM3AP	8888	LacZ4							1
2242	1062	MGC15416	84331	475	EEF1G	1937	SD4			GIOT:22				1
2243	1064	MGC15827	84968	1323	PNMA1	9240	LacZ4							1
2244	1066	MGC20262	138311	1460	RBMS2	5939	LacZ4	Bdg:neg						1
2245	1068	MGC2494	65990	999	LUC7L	55692	LacZ4							1
2246	1069	MGC2574	79080	428	DLST	1743	SD4			GIOT:31				1
2247	1073	MGC3222	79188	552	FDFT1	2222	LacZ4							1
2248	1074	MGC3731	79159	951	LOC150421	150421	LacZ4							1
2249	1074	MGC3731	79159	1658	SOD2	6648	SD4		Y2H:40					1
2250	1079	MGC45871	359845	812	HTATIP	10524	SD4		Y2H:40					1
2251	1080	MGC4707	79096	408	DKFZP564O0523	84060	LacZ4							1
2252	1080	MGC4707	79096	1385	PSMA1	5682	LacZ4							1
2253	1080	MGC4707	79096	1514	RPL8	6132	LacZ4							1
2254	1080	MGC4707	79096	1532	RPS3A	6189	LacZ4							1
2255	1081	MGC4796	83931	1326	POLA2	23649	SD4		Y2H:40					1
2256	1082	MGC5306	79101	1409	PTN	5764	SD4		Y2H:40					1
2257	1090	MGLL	11343	291	CHGB	1114	LacZ4							1
2258	1094	MKKS	8195	1409	PTN	5764	LacZ4							1
2259	1095	MLF1	4291	714	GRIK5	2901	LacZ4							1
2260	1097	MNAT1	4331	780	HPS6	79803	LacZ4							1
2261	1100	MPHOSPH6	10200	174	C14orf1	11161	SD4		HPRD:31|Y2H:40					1
2262	1102	MPP3	4356	198	C4orf14	84273	SD4		Y2H:40					1
2263	1102	MPP3	4356	700	GNG7	2788	SD4				WI5:31			1
2264	1102	MPP3	4356	1049	MDH1	4190	SD4			GIOT:13				1
2265	1102	MPP3	4356	1065	MGC16597	339230	SD4		Y2H:40					1
2266	1102	MPP3	4356	1314	PLK2	10769	SD4					MIPS:22|MIPS:31		1
2267	1102	MPP3	4356	1525	RPS2	6187	SD4				WI5:31			1
2268	1109	MRPL38	64978	174	C14orf1	11161	SD4			GIOT:22				1
2269	1110	MRPL4	51073	487	EIF2B1	1967	SD4				WI5:12|WI5:13			1
2270	1116	MRPS26	64949	1356	PPP2CA	5515	SD4			GIOT:12|GIOT:13				1
2271	1119	MRPS9	64965	729	HAP1	9001	LacZ4							1
2272	1120	MS4A7	58475	196	C2orf18	54978	LacZ4							1
2273	1120	MS4A7	58475	763	HMGCL	3155	LacZ4							1
2274	1126	MUF1	10489	1143	MYO9B	4650	LacZ4							1
2275	1128	MVD	4597	474	EEF1G	1937	LacZ4							1
2276	1130	MYCBP	26292	281	CFL1	1072	LacZ4							1
2277	1130	MYCBP	26292	572	FLJ10357	55701	SD4		Y2H:40					1
2278	1130	MYCBP	26292	895	KIAA1337	57540	LacZ4							1
2279	1130	MYCBP	26292	1681	SSRP1	6749	SD4						GO:0006355	1
2280	1148	NAP1L1	4673	1148	NAP1L1	4673	SD4						GO:0005678|GO:0006334	1
2281	1157	NDUFA6	4700	145	BAT3	7917	SD4			GIOT:31				1
2282	1158	NDUFA7	4701	1368	PRKAB1	5564	SD4			GIOT:13				1
2283	1160	NDUFB8	4714	490	EIF2B3	8891	LacZ4							1
2284	1160	NDUFB8	4714	1291	PIM2	11040	LacZ4							1
2285	1161	NDUFB9	4715	677	GDF9	2661	SD4		Y2H:40					1
2286	1165	NDUFV2	4729	1659	SP110	3431	LacZ4							1
2287	1172	NEU1	4758	466	EEF1A1	1915	LacZ4							1
2288	1177	NHP2L1	4809	1458	RBM10	8241	SD4			GIOT:13				1
2289	1178	NICE-1	54544	71	APLP1	333	SD4		Y2H:40					1
2290	1183	NKAP	79576	1000	LUC7L2	51631	LacZ4							1
2291	1188	NOTCH1	4851	658	G22P1	2547	SD4		HPRD:22|HPRD:13					1
2292	1191	NPM3	10360	897	KIAA1377	57562	SD4			GIOT:22				1
2293	1192	NR4A1	3164	654	FXYD3	5349	LacZ4							1
2294	1196	NRBP	29959	1476	RIF1	55791	LacZ4	Memb:pos						1
2295	1199	NSF	4905	494	EIF3S6	3646	LacZ4							1
2295	1199	NSF	4905	495	EIF3S6	3646	LacZ4							1
2296	1200	NSFL1C	55968	938	LIPE	3991	SD4			GIOT:22				1
2297	1200	NSFL1C	55968	1502	RPL22	6146	SD4			GIOT:22				1
2298	1200	NSFL1C	55968	1725	TARDBP	23435	SD4			GIOT:13				1
2299	1201	NUCKS	64710	42	AK5	26289	LacZ4							1
2300	1203	NUDT3	11165	102	ASB13	79754	LacZ4							1
2301	1203	NUDT3	11165	1429	RAB17	64284	LacZ4							1
2302	1204	NUDT5	11164	1044	MCM3AP	8888	LacZ4							1
2303	1205	NUP62	23636	832	IK	3550	SD4			GIOT:12|GIOT:13				1
2304	1208	NVL	4931	341	CRMP1	1400	LacZ4							1
2305	1209	OAT	4942	196	C2orf18	54978	LacZ4							1
2306	1212	OGG1	4968	291	CHGB	1114	LacZ4							1
2307	1214	OLFM2	93145	1587	SFRS5	6430	SD4		Y2H:40					1
2308	1214	OLFM2	93145	1682	ST13	6767	SD4		Y2H:40					1
2309	1215	ORMDL3	94103	466	EEF1A1	1915	LacZ4							1
2310	1219	P5326	83638	1596	SH3GL3	6457	LacZ4							1
2311	1221	PACSIN1	29993	1144	MYST2	11143	LacZ4							1
2312	1224	PAFAH1B2	5049	17	ACINUS	22985	LacZ4							1
2313	1224	PAFAH1B2	5049	247	CCT3	7203	SD4			GIOT:22				1
2314	1224	PAFAH1B2	5049	1294	PINX1	54984	LacZ4							1
2315	1224	PAFAH1B2	5049	1350	PPP1R12C	54776	LacZ4							1
2316	1224	PAFAH1B2	5049	1738	TCEB3BP1	57455	LacZ4							1
2317	1224	PAFAH1B2	5049	1754	TIMM50	92609	LacZ4							1
2318	1224	PAFAH1B2	5049	1901	ZFP36L1	677	LacZ4	Memb:neg						1
2319	1229	PAI-RBP1	26135	654	FXYD3	5349	LacZ4							1
2320	1234	PARK2	5071	1441	RAC1	5879	SD4		HPRD:22|HPRD:13					1
2321	1234	PARK2	5071	1443	RAD1	5810	LacZ4							1
2322	1243	PCMT1	5110	286	CHD3	1107	LacZ4							1
2323	1266	PEX14	5195	1055	MED8	112950	SD4	Bdg:pos	Y2H:40					1
2324	1266	PEX14	5195	1904	ZHX1	11244	SD4			GIOT:22				1
2325	1273	PGAM1	5223	658	G22P1	2547	SD4					MIPS:22		1
2326	1277	PHC2	1912	38	AFG3L2	10939	SD4			GIOT:13				1
2327	1277	PHC2	1912	568	FLJ10276	55108	LacZ4							1
2328	1277	PHC2	1912	1511	RPL7	6129	SD4			GIOT:12				1
2329	1278	PHF10	55274	71	APLP1	333	SD4		Y2H:30|Y2H:40					1
2330	1282	PHYH	5264	1784	TOM1L1	10040	LacZ4							1
2331	1283	PHYHIP	9796	744	HDAC11	79885	LacZ4							1
2332	1283	PHYHIP	9796	946	LOC112840	112840	SD4		Y2H:40					1
2333	1283	PHYHIP	9796	1018	MAGED4	81557	LacZ4							1
2334	1283	PHYHIP	9796	1067	MGC21688	131408	LacZ4							1
2335	1283	PHYHIP	9796	1089	MGC9084	92342	LacZ4							1
2336	1283	PHYHIP	9796	1166	NDUFV3	4731	LacZ4							1
2337	1283	PHYHIP	9796	1346	PPIE	10450	LacZ4							1
2338	1283	PHYHIP	9796	1549	S100A13	6284	LacZ4							1
2339	1283	PHYHIP	9796	1612	SKB1	10419	SD4		HPRD:31					1
2340	1283	PHYHIP	9796	1634	SMARCC2	6601	SD4		Y2H:40					1
2341	1283	PHYHIP	9796	1925	ZZEF1	23140	SD4		Y2H:40					1
2342	1285	PIGC	5279	1904	ZHX1	11244	SD4					MIPS:21		1
2343	1298	PISD	23761	391	DHX29	54505	LacZ4							1
2344	1298	PISD	23761	957	LOC221955	221955	LacZ4	Bdg:neg						1
2345	1307	PLCE1	51196	1195	NRAS	4893	LacZ4							1
2346	1315	PLP2	5355	833	IKBKAP	8518	LacZ4							1
2347	1316	PLXNB2	23654	1409	PTN	5764	LacZ4							1
2348	1318	PMAIP1	5366	1907	ZNF145	7704	LacZ4							1
2349	1319	PMF1	11243	677	GDF9	2661	SD4		Y2H:40					1
2350	1319	PMF1	11243	897	KIAA1377	57562	SD4		Y2H:40					1
2351	1333	POLR3F	10621	946	LOC112840	112840	SD4		Y2H:40					1
2352	1333	POLR3F	10621	1376	PRPF4B	8899	SD4	Memb:pos	Y2H:40					1
2353	1338	PPAP2C	8612	145	BAT3	7917	SD4		Y2H:40					1
2354	1338	PPAP2C	8612	1853	UNC119	9094	SD4		Y2H:40					1
2355	1352	PPP1R16A	84988	261	CDH24	64403	LacZ4							1
2356	1352	PPP1R16A	84988	377	DDX27	55661	LacZ4							1
2357	1352	PPP1R16A	84988	644	FSD1	79187	LacZ4	Bdg:pos						1
2358	1352	PPP1R16A	84988	844	INDO	3620	LacZ4	Bdg:pos						1
2359	1352	PPP1R16A	84988	1088	MGC874	51260	LacZ4	Bdg:pos						1
2360	1352	PPP1R16A	84988	1232	PAPSS1	9061	LacZ4							1
2361	1352	PPP1R16A	84988	1281	PHP14	29085	LacZ4							1
2362	1352	PPP1R16A	84988	1472	RGMA	56963	LacZ4	Bdg:pos						1
2363	1353	PPP1R1B	84152	427	DLGAP4	22839	LacZ4	Memb:neg						1
2364	1355	PPP1R8	5511	341	CRMP1	1400	SD4		Y2H:40					1
2365	1355	PPP1R8	5511	1580	SETDB1	9869	SD4		HPRD:13|Y2H:40					1
2366	1360	PQBP1	10084	174	C14orf1	11161	SD4		Y2H:40					1
2367	1362	PRDX5	25824	1053	MDS025	60492	LacZ4							1
2368	1363	PREI3	25843	342	CRMP1	1400	SD4		HPRD:31|Y2H:40					1
2369	1363	PREI3	25843	534	FADD	8772	SD4		HPRD:31					1
2370	1363	PREI3	25843	1083	MGC5309	84246	SD4			GIOT:22|GIOT:13				1
2371	1363	PREI3	25843	1310	PLEKHM1	9842	SD4		Y2H:40					1
2372	1366	PRG2	5553	408	DKFZP564O0523	84060	SD4		Y2H:40					1
2373	1373	PRNP	5621	145	BAT3	7917	LacZ4							1
2374	1395	psmd14-prov	380423	1309	PLEKHB2	55041	LacZ4							1
2375	1400	PSME3	10197	112	ATP5B	506	SD4			GIOT:13				1
2376	1400	PSME3	10197	275	CENTA1	11033	SD4		Y2H:40					1
2377	1400	PSME3	10197	1400	PSME3	10197	LacZ4							1
2378	1401	PSPC1	55269	1476	RIF1	55791	SD4			GIOT:22				1
2379	1402	PTD004	29789	1612	SKB1	10419	SD4		HPRD:31					1
2380	1404	PTEN	5728	1567	SDCCAG16	10813	SD4		HPRD:31|Y2H:40					1
2381	1406	PTK9L	11344	291	CHGB	1114	LacZ4							1
2382	1410	PTOV1	53635	516	EPB49	2039	SD4		HPRD:22					1
2383	1410	PTOV1	53635	1292	PIN1	5300	SD4		Y2H:40					1
2384	1410	PTOV1	53635	1667	SPTAN1	6709	SD4	Bdg:neg	HPRD:22|Y2H:40					1
2385	1412	PTPN4	5775	1925	ZZEF1	23140	SD4	Bdg:neg	Y2H:40					1
2386	1414	PTPRCAP	5790	466	EEF1A1	1915	SD4		HPRD:22					1
2387	1422	PWP2H	5822	1784	TOM1L1	10040	LacZ4							1
2388	1428	Rab11b	79434	1675	SREBF2	6721	SD4						GO:0006355	1
2389	1430	RAB18	22931	1254	PDE6D	5147	LacZ4							1
2390	1431	RAB1A	5861	221	CAD62620		LacZ4							1
2391	1431	RAB1A	5861	226	CAPNS1	826	SD4		HPRD:31|Y2H:40					1
2392	1431	RAB1A	5861	337	CREB1	1385	SD4		HPRD:31					1
2393	1431	RAB1A	5861	643	FSCN1	6624	SD4		Y2H:40					1
2394	1431	RAB1A	5861	754	HIVEP1	3096	LacZ4							1
2395	1431	RAB1A	5861	1615	SLC16A8	23539	SD4		Y2H:40					1
2396	1431	RAB1A	5861	1729	TBC1D17	79735	LacZ4							1
2397	1432	RAB27A	5873	466	EEF1A1	1915	SD4		HPRD:22|HPRD:31|Y2H:40					1
2398	1432	RAB27A	5873	1907	ZNF145	7704	SD4		Y2H:40					1
2399	1433	RAB2L	5863	1053	MDS025	60492	SD4		Y2H:40					1
2400	1435	RAB35	11021	235	CBR3	874	LacZ4							1
2401	1435	RAB35	11021	1734	TBPL1	9519	LacZ4							1
2402	1437	RAB4A	5867	1788	TP53	7157	SD4		HPRD:12|HPRD:13|HPRD:31					1
2403	1438	RAB8A	4218	145	BAT3	7917	SD4					MIPS:22		1
2404	1440	RABIF	5877	735	HBXIP	10542	SD4		Y2H:30					1
2405	1450	RAP1GA1	5909	399	DKFZp434J0617	84206	LacZ4	Bdg:pos						1
2406	1450	RAP1GA1	5909	1271	PFN2	5217	LacZ4	Bdg:neg						1
2407	1454	RASGRP2	10235	895	KIAA1337	57540	LacZ4							1
2408	1457	RBBP4	5928	658	G22P1	2547	SD4		HPRD:13					1
2409	1462	RDBP	7936	1865	VAMP3	9341	LacZ4							1
2410	1465	RECQL5	9400	378	DDX42	11325	SD4						GO:0008026	1
2411	1465	RECQL5	9400	852	ITGB3BP	23421	LacZ4							1
2412	1465	RECQL5	9400	1031	MAPK8IP1	9479	SD4		HPRD:22					1
2413	1465	RECQL5	9400	1125	MTSS1	9788	LacZ4							1
2414	1468	RER1	11079	841	IMMT	10989	SD4		Y2H:40					1
2415	1473	RGS1	5996	1026	MAP3K12	7786	SD4		Y2H:30					1
2416	1473	RGS1	5996	1567	SDCCAG16	10813	SD4		Y2H:40					1
2417	1474	RGS2	5997	574	FLJ10439	54663	SD4			GIOT:22				1
2418	1474	RGS2	5997	991	LRFN1	57622	SD4			GIOT:22				1
2419	1474	RGS2	5997	1180	NIPSNAP1	8508	SD4			GIOT:22				1
2420	1474	RGS2	5997	1877	VPS29	51699	SD4			GIOT:22				1
2421	1478	RIPX	22902	1853	UNC119	9094	LacZ4							1
2422	1484	RNF146	81847	1271	PFN2	5217	LacZ4							1
2423	1485	RNF2	6045	239	CBX4	8535	LacZ4							1
2424	1487	RNPC4	55147	1816	TUBA1	7277	SD4			GIOT:22|GIOT:13				1
2425	1489	RNUT1	10073	1776	TNNT3	7140	LacZ4							1
2426	1493	RPA2	6118	22	ACP5	54	SD4		Y2H:40					1
2427	1494	RPL10	6134	1734	TBPL1	9519	SD4			GIOT:31				1
2428	1498	RPL15	6138	323	COPS6	10980	LacZ4							1
2429	1500	RPL18A	6142	987	LPL	4023	SD4		HPRD:22					1
2430	1500	RPL18A	6142	1051	MDK	4192	SD4		HPRD:22					1
2431	1501	RPL21	6144	1009	LZp40		LacZ4							1
2432	1505	RPL29	6159	602	FLJ20366	55638	LacZ4							1
2433	1515	RPL9	6133	84	ARGBP2	8470	SD4				WI5:13			1
2434	1522	RPP14	11102	1063	MGC15730	84966	LacZ4							1
2435	1524	RPS10	6204	729	HAP1	9001	SD4		Y2H:40					1
2436	1536	RPS6KA6	27330	1192	NR4A1	3164	SD4				WI5:13			1
2437	1537	RRAS2	22800	934	LGALS4	3960	SD4					MIPS:31		1
2438	1540	RTN4	57142	341	CRMP1	1400	SD4			GIOT:22				1
2439	1540	RTN4	57142	407	DKFZP564J157	54458	LacZ4							1
2440	1541	RUSC2	9853	428	DLST	1743	LacZ4	Bdg:neg						1
